"No.","Group Name","Contact","Contact TG/DMR ID"
"1","Follo","242 Norway|242102 Follo|242103 Follo3|NO Central|NO North|NO South/East|NO West|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4|SIMPLEX 99","242|242102|242103|2426|2429|2421|2424|24201|24202|24203|24204|99"
"2","Follo3","242 Norway|242103 Follo3|NO South/East|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242103|2421|24201|24202|24203|24204"
"3","Kolsaas","242 Norway|242101 Kolsaas|242111 NSOA 1|242112 NSOA 2|NO Central|NO North|NO South/East|NO West|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4|SIMPLEX 99","242|242101|242111|242112|2426|2429|2421|2424|24201|24202|24203|24204|99"
"4","Stavanger","242 Norway|242310 Stavanger|NO West|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242310|2424|24201|24202|24203|24204"
"5","Hamar","NO South/East|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","2421|24201|24202|24203|24204"
"6","Modum","242 Norway|242604 Modum|NO South/East|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242604|2421|24201|24202|24203|24204"
"7","Kongsvinger","242 Norway|242022 KongsvB|242611 Kongsving|NO Central|NO North|NO South/East|NO West|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4|SIMPLEX 99","242|242022|242611|2426|2429|2421|2424|24201|24202|24203|24204|99"
"8","Drammen","242 Norway|242650 Drammen|NO Central|NO North|NO South/East|NO West|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4|SIMPLEX 99","242|242650|2426|2429|2421|2424|24201|24202|24203|24204|99"
"9","Skien","242 Norway|242701 Skien|NO South/East|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242701|2421|24201|24202|24203|24204"
"10","Toensberg","242 Norway|242801 Toensberg|NO South/East|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242801|2421|24201|24202|24203|24204"
"11","Hvittingen","242 Norway|242803 Hvittinge|NO South/East|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242803|2421|24201|24202|24203|24204"
"12","Mosjoeen","242 Norway|242902 Mosjoen|NO North|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242902|2429|24201|24202|24203|24204"
"13","Sandnessjoeen","242 Norway|242903 Sandnessj|NO North|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242903|2429|24201|24202|24203|24204"
"14","Mo i Rana","242 Norway|242904 Mo i Rana|NO North|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242904|2429|24201|24202|24203|24204"
"15","Harstad","242 Norway|242910 Harstad|NO North|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242910|2429|24201|24202|24203|24204"
"16","Loedingen","242 Norway|242911 Loedingen|NO North|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242911|2429|24201|24202|24203|24204"
"17","Bardufoss","242 Norway|242920 Bardufoss|NO North|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242920|2429|24201|24202|24203|24204"
"18","Tromsoe","242 Norway|242922 Tromsoe|NO North|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242922|2429|24201|24202|24203|24204"
"19","Kongsberg","242 Norway|242606 Kongsberg|NO South/East|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242606|2421|24201|24202|24203|24204"
"20","Haugesund","242 Norway|242323 Haugesund|NO West|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242323|2424|24201|24202|24203|24204"
"21","Ringerike","242 Norway|NO Central|NO South/East|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|2426|2421|24201|24202|24203|24204"
"22","Loedingen 2m","242 Norway|NO North|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|2429|24201|24202|24203|24204"
"23","Sauda 2m","242 Norway|NO West|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|2424|24201|24202|24203|24204"
"24","Kongsvinger B","242 Norway|242022 KongsvB|NO South/East|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242022|2421|24201|24202|24203|24204"
"25","Bergen","242210 Bergen|NO West|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242210|2424|24201|24202|24203|24204"
"26","Oslo","242 Norway|242002 Oslo|NO Central|NO North|NO South/East|NO West|Norway Chat 1|Norway Chat 2|Norway Chat 3|Norway Chat 4","242|242002|2426|2429|2421|2424|24201|24202|24203|24204"
"28","Mistberget","242105 Mistberge","242105"
