"No.","Receive Frequency","Transmit Frequency","Color Code","Slot","Name"
"1","434.88750","432.88750","1","Slot1","Roam Oslo"
"2","434.90000","432.90000","1","Slot1","Roam Follo"
"3","434.75000","432.75000","1","Slot1","Roam Follo3"
"4","434.87500","432.87500","1","Slot1","Roam Mistberget"
"5","434.92500","432.92500","1","Slot1","Roam Kolsaas"
"6","434.81250","432.81250","1","Slot1","Roam Sarpsborg"
"7","434.52500","432.52500","1","Slot1","Roam Drammen"
"8","434.62500","432.62500","1","Slot1","Roam Kongsvinger"
"9","434.56250","432.56250","1","Slot1","Roam Kongsv B"
"10","434.70000","432.70000","1","Slot1","Roam Modum"
"11","434.70000","432.70000","1","Slot1","Roam Hamar"
"12","434.51250","432.51250","1","Slot1","Roam Skien"
"13","434.55000","432.55000","1","Slot1","Roam Toensberg"
"14","434.65000","432.65000","1","Slot1","Roam Hvittingen"
"15","434.83750","432.83750","1","Slot1","Roam Kongsberg"
"16","434.65000","432.65000","1","Slot1","Roam Geilo"
"17","434.67500","432.67500","1","Slot1","Roam Bod"
"18","434.75000","432.75000","1","Slot1","Roam Haugesund"
"19","434.60000","432.60000","1","Slot1","Roam Verdal"
"20","434.67500","432.67500","1","Slot1","Roam Forbord"
"21","434.82500","432.82500","1","Slot1","Roam Bergen"
"22","434.86250","432.86250","1","Slot1","Roam Flekkefjord"
"23","434.97500","432.97500","1","Slot1","Roam Stavanger"
"24","434.82500","432.82500","1","Slot1","Roam Mosjoen"
"25","434.80000","432.80000","1","Slot1","Roam Sandnessjoe"
"26","434.85000","432.85000","1","Slot1","Roam Mo i Rana"
"27","434.80000","432.80000","1","Slot1","Roam Harstad"
"28","434.62500","432.62500","1","Slot1","Roam Loedingen"
"29","434.65000","432.65000","1","Slot1","Roam Bardu"
"30","434.80000","432.80000","1","Slot1","Roam Tromsoe"
"31","145.58750","144.98750","1","Slot1","Roam Egersund"
"32","434.70000","432.70000","1","Slot1","Roam Arendal"
"33","145.76250","145.16250","1","Slot1","Roam Kvinnesh."
"34","434.97500","432.97500","1","Slot1","Roam Sandnessj2"
"35","434.60000","432.60000","1","Slot1","Roam Bislingen"
"36","434.95000","432.95000","1","Slot1","Roam Fauske"
"37","434.75000","432.75000","1","Slot1","Roam Narvik"
"38","434.63750","432.63750","1","Slot1","Roam Romerike"
